,Name,School,L10_High_UB,L10_Ave_UB,Freshman,NCAA_High_UB,NCAA_Ave_UB,UB_nqs,UB_delta
3061,Dayah Haley,West Virginia,9.5,9.0375,2012,9.8,9.596,9.75,0.3
3062,Stephanie Giameo,Maryland,9.425,9.16,2012,9.825,9.688,9.79,0.4
3063,Kassandra Lopez,Utah,9.8,7.215625,2012,9.925,9.831,9.92,0.125
3064,Tory Wilson,Utah,9.7,7.115625,2012,9.95,9.811,9.9,0.25
3065,Kiersten Wang,Florida,9.65,9.5,2012,9.75,9.75,0.0,0.1
3066,Amber Wobma,Arizona,9.4,6.378571428571429,2012,0.0,0.0,0.0,-9.4
3067,Sarah Landes,Utah State,9.175,5.983333333333333,2012,9.875,9.709,9.845,0.7
3068,Nina McGee,Denver,9.625,6.2875,2013,9.95,9.847,9.925,0.325
3069,Lloimincia Hall,LSU,9.6,9.295,2012,9.85,9.736,9.84,0.25
3070,Maebelle Pacheco,Pittsburgh,9.45,8.79,2014,0.0,0.0,0.0,-9.45
3071,Ana Jaworski,Southern Utah,9.475,7.018749999999999,2012,9.85,9.53,9.755,0.375
3072,Haley Sedgewick,Pittsburgh,9.375,6.567857142857143,2012,9.775,9.418,9.715,0.4
3073,Kylie Schermann,Minnesota,9.125,7.395833333333333,2012,9.375,9.35,0.0,0.25
3074,Haley Bodenheimer,Pittsburgh,9.55,6.699999999999999,2012,9.825,9.675,9.78,0.275
3075,McKenzie Fechter,Washington,9.2,5.210714285714286,2012,9.875,9.716,9.85,0.675
3076,Rachel Schick,Georgia,9.4,8.925,2015,9.925,9.773,9.91,0.525
3077,Jordan Naleway,Illinois,9.625,6.3125,2012,9.875,9.778,9.85,0.25
3078,Madison Podlucky,Washington,9.575,6.99375,2012,0.0,0.0,0.0,-9.575
3079,Sachi Sugiyama,Michigan,9.625,9.483333333333334,2012,9.95,9.798,9.905,0.325
3080,Cierra Tomson,Minnesota,9.35,7.675,2012,9.925,9.697,9.905,0.575
3081,Caitlin Brown,Iowa State,9.425,6.108333333333334,2012,9.9,9.705,9.84,0.475
3082,Alexandra Mills,Arizona,9.55,9.55,2013,9.9,9.646,9.86,0.35
3083,Natasha Sundby,Arizona State,8.875,6.521875,2013,0.0,0.0,0.0,-8.875
3084,Brittany Webster,Auburn,9.125,8.905,2012,0.0,0.0,0.0,-9.125
3085,Alina Cartwright,Michigan State,9.65,6.564285714285715,2012,9.9,9.612,9.84,0.25
3086,Sarah Grady,Ohio State,9.575,5.846875,2012,9.825,9.723,9.785,0.25
3087,Jessica Morreale,Iowa,9.5,6.241666666666666,2012,0.0,0.0,0.0,-9.5
3088,Kelsi Eberly,Illinois,9.6,6.116666666666667,2012,0.0,0.0,0.0,-9.6
3089,Brianna Guy,Auburn,9.6,9.12,2012,9.85,9.697,9.78,0.25
3090,Chelsea Bailey,UIC,9.225,8.685,2012,0.0,0.0,0.0,-9.225
