,School,Conference,Year,Final Rank,NQS,Home Average,Away Average,Location Delta,Scores >= 9.9,VT Delta,UB Delta,BB Delta,FX Delta,AA Delta
171,Utah,Pac12,2013,9,197.105,197.17,196.459,0.711,23.4,3.332,3.073,2.995,3.472,11.282
172,Utah State,MRGC,2013,54,193.725,193.369,192.693,0.676,0.8,2.115,2.337,3.651,1.415,8.758
173,UW-La Crosse,NaN,2013,72,185.57,184.233,184.461,-0.228,0.0,2.456,1.583,3.82,1.968,10.047
174,UW-Oshkosh,NaN,2013,80,181.74,181.742,180.321,1.421,0.0,1.772,2.646,2.697,2.08,9.742
175,UW-Stout,NaN,2013,73,184.36,183.617,183.237,0.38,0.0,2.658,2.001,2.179,2.238,6.857
176,UW-Whitewater,NaN,2013,68,188.115,188.55,185.935,2.615,0.0,2.865,2.379,2.984,3.073,10.509
177,Washington,PAC12,2013,19,196.003,195.812,195.299,0.513,2.9,1.988,2.495,2.173,1.968,9.162
178,West Chester,GEC,2013,69,188.035,188.438,186.225,2.213,0.0,3.155,3.202,3.12,3.354,1000.0
179,West Virginia,Big12,2013,29,195.78,195.942,194.642,1.3,5.9,2.049,2.736,0.944,1.448,1000.0
180,Western Michigan,MAC,2013,45,194.285,194.456,193.196,1.26,1.6,2.772,2.139,2.706,3.113,9.519
181,William & Mary,GEC,2013,57,193.115,192.208,192.504,-0.296,0.8,2.146,2.667,1.878,2.546,10.282
182,Winona State,NaN,2013,75,184.725,183.175,182.904,0.271,0.0,1.976,2.06,1.872,2.069,7.971
183,Yale,GEC,2013,64,191.34,190.108,189.987,0.121,0.4,-0.024,1.081,0.373,0.333,1000.0
184,Seattle Pacific,NaN,2013,58,192.735,191.55,191.875,-0.325,0.0,0.713,2.14,1.516,3.029,7.447
185,Air Force,MPSF,2014,51,194.19,193.74,193.264,0.476,0.0,4.061,2.571,1.551,2.317,11.296
186,Alabama,SEC,2014,4,197.735,197.604,197.262,0.342,35.1,3.121,1.5,1.565,3.863,10.497
187,Alaska,MPSF,2014,67,189.865,189.48,189.412,0.068,0.0,2.411,2.633,2.997,3.559,9.568
188,Arizona,Pac12,2014,24,196.16,196.475,195.356,1.119,9.3,2.328,2.534,2.619,3.783,1000.0
189,Arizona State,Pac12,2014,30,195.855,195.504,195.083,0.421,2.8,2.664,1.95,2.553,3.095,1000.0
190,Arkansas,SEC,2014,15,196.375,196.45,195.958,0.492,15.3,2.334,2.565,2.178,2.059,8.316
191,Auburn,SEC,2014,20,196.56,196.26,195.85,0.41,14.6,2.781,2.68,2.08,2.59,1000.0
192,Ball State,MAC,2014,55,193.375,192.638,191.433,1.205,1.0,2.883,2.565,2.751,3.499,10.851
193,Boise State,MRGC,2014,19,196.395,196.18,195.932,0.248,10.7,2.617,3.356,2.912,3.954,1000.0
194,Bowling Green,2763,2014,40,194.785,194.992,193.908,1.084,1.3,2.085,2.301,2.216,3.28,9.744
195,Bridgeport,GEC,2014,53,194.03,193.725,192.054,1.671,1.1,2.556,2.242,2.743,2.068,7.524
196,Brockport,NaN,2014,70,188.575,189.738,186.811,2.927,0.4,2.928,2.814,2.54,2.937,12.624
197,Brown,GEC,2014,57,193.54,193.306,192.191,1.115,0.7,2.571,2.661,1.881,2.015,9.816
198,BYU,MRGC,2014,29,195.82,195.785,194.772,1.013,4.2,3.504,1000.0,1000.0,1000.0,1000.0
199,California,Pac12,2014,16,196.27,196.095,195.393,0.702,7.2,2.309,2.478,2.599,2.531,10.359
200,Centenary College,MIC,2014,65,189.99,189.7,188.322,1.378,0.0,2.427,2.595,2.813,2.534,8.986
201,Central Michigan,MAC,2014,17,196.3,195.325,195.904,-0.579,8.6,2.997,2.862,2.476,2.675,8.098
202,Cornell,GEC,2014,61,192.12,191.342,191.036,0.306,0.0,1.068,2.546,2.342,3.973,1000.0
203,Cortland State,NaN,2014,71,187.84,184.925,187.119,-2.194,0.4,1.347,0.774,0.941,1.268,2.35
