,Name,School,L10_High_FX,L10_Ave_FX,Freshman,NCAA_High_FX,NCAA_Ave_FX,FX_nqs,FX_delta
527,Maya MacDonald,New Hampshire,9.475,6.840625000000001,2021,9.75,9.595,0.0,0.275
528,Carina Jordan,North Carolina State,9.875,6.677884615384615,2021,9.875,9.654,9.84,0.0
529,Sophie Dudley,BYU,9.75,7.60357142857143,2022,9.8,9.739,9.75,0.05
530,Sierra Ballard,LSU,9.675,7.316666666666667,2021,9.925,9.83,9.88,0.25
531,Alyssa Manley,Alaska,9.475,7.388235294117644,2022,9.825,9.638,9.705,0.35
532,Jordan Jankowski,Eastern Michigan,9.375,6.636538461538462,2022,0.0,0.0,0.0,-9.375
533,Brooklyn Kopsack,Alaska,9.0,8.708333333333332,2022,9.675,9.115,0.0,0.675
534,Lily McFarland,West Chester,9.375,6.46111111111111,2022,9.75,9.562,9.525,0.375
535,Brooke Donabedian,Temple,9.75,7.663970588235294,2021,9.95,9.783,9.89,0.2
536,Hanna Zebdi,Southern Conn.,9.4,7.2125,2022,9.85,9.606,9.79,0.45
537,Taylor Raskin,Arizona,0.0,0.0,2021,0.0,0.0,0.0,0.0
538,Taylor Bushey,Brockport,9.0,4.805555555555555,2022,0.0,0.0,0.0,-9.0
539,Maggie Ayers,Penn State,9.475,6.300000000000001,2021,9.775,9.472,9.65,0.3
540,Anna Grace McCullough,Eastern Michigan,9.625,6.995,2021,9.85,9.418,9.81,0.225
541,Hannah Miller,BYU,9.675,7.065425531914892,2017,9.7,9.4,0.0,0.025
542,Julia Yitts,Rhode Island College,8.9,8.9,2022,9.65,9.203,9.34,0.75
543,Natalie Galioto,Brockport,8.85,3.3850000000000002,2022,9.775,9.506,9.62,0.925
544,Jaidyn Raby,Rutgers,8.75,5.671428571428572,2021,0.0,0.0,0.0,-8.75
545,Mia Rose Thackston,Temple,8.75,3.621428571428572,2021,0.0,0.0,0.0,-8.75
546,Kareena McSweeny,Iowa,9.55,6.927884615384615,2022,0.0,0.0,0.0,-9.55
547,Ellie Lazzari,Florida,9.8,7.488888888888889,2021,9.925,9.874,9.893,0.125
548,Delaney Brown,Cortland State,9.05,8.4625,2022,9.6,9.125,9.195,0.55
549,Agatha Handono,West Virginia,9.6,6.004166666666667,2021,0.0,0.0,0.0,-9.6
550,Caroline Herry,Arizona,9.8,7.396774193548388,2021,9.95,9.873,9.905,0.15
551,Isabel Plaza,Centenary College,0.0,0.0,2021,0.0,0.0,0.0,0.0
552,Madison Benson,North Carolina State,9.725,5.8482758620689665,2021,9.85,9.742,9.82,0.125
553,Victoria Henry,Ball State,9.825,7.517500000000001,2021,9.9,9.746,9.805,0.075
554,Allie Morgan,Illinois,9.35,9.084999999999999,2022,0.0,0.0,0.0,-9.35
555,Kaia Parker,Iowa State,9.65,7.030555555555555,2021,9.85,9.525,9.65,0.2
556,Hannah Oliveros,Ohio State,9.7,7.175833333333333,2021,0.0,0.0,0.0,-9.7
557,Claudia Walter,UW-La Crosse,9.175,4.7138888888888895,2021,0.0,0.0,0.0,-9.175
558,Kate Greene,North Carolina,9.675,7.233333333333333,2021,9.8,9.713,9.725,0.125
559,Nadia Drutau,Yale,9.35,6.338333333333332,2022,0.0,0.0,0.0,-9.35
