,Name,School,L10_High_BB,L10_Ave_BB,Freshman,NCAA_High_BB,NCAA_Ave_BB,BB_nqs,BB_delta
819,Alyssa DeLorme,Ursinus College,9.3,5.708928571428572,2022,9.75,9.335,9.59,0.45
820,Emma Wiley,William & Mary,9.05,5.223076923076922,2021,9.725,9.307,9.555,0.675
821,Kayla Horton,Southern Utah,9.7,7.4163461538461535,2021,0.0,0.0,0.0,-9.7
822,Celine Barney,Southern Utah,8.7,3.2326923076923078,2021,0.0,0.0,0.0,-8.7
823,Mati Waligora,Alabama,9.35,9.075,2021,9.925,9.736,9.92,0.575
824,Emily Liszewski,Pittsburgh,9.725,6.800000000000002,2021,0.0,0.0,0.0,-9.725
825,Briona Carswell,Air Force,9.4,5.416666666666667,2021,9.9,9.725,9.86,0.5
826,Peyton Gillen,Sacramento State,9.475,3.715,2022,9.9,9.632,9.745,0.425
827,Payton Smith,Auburn,9.55,7.3238095238095235,2021,0.0,0.0,0.0,-9.55
828,Libby Orman,Arizona,9.375,6.6535714285714285,2021,0.0,0.0,0.0,-9.375
829,Cate Sandvik,UW-La Crosse,9.4,7.830357142857144,2021,9.725,9.506,9.6,0.325
