Team,Year,VT,UB,BB,FX,Overall
Utah,2014,3,4,9,1,7
Utah State,2014,25,31,37,32,36
UW-Eau Claire,2014,79,76,75,75,76
UW-La Crosse,2014,71,69,71,71,72
UW-Oshkosh,2014,78,73,74,77,74
UW-Stout,2014,73,77,76,78,78
UW-Whitewater,2014,70,63,69,72,69
Washington,2014,40,24,23,39,26
West Chester,2014,68,65,64,66,66
West Virginia,2014,28,28,43,43,37
Western Michigan,2014,48,50,45,55,50
William & Mary,2014,52,57,50,61,56
Winona State,2014,75,78,77,76,75
Yale,2014,72,62,65,69,64
Air Force,2013,57,49,63,56,56
Alabama,2013,2,7,3,1,3
Alaska,2013,57,61,55,69,62
Arizona,2013,21,16,20,17,17
Arizona State,2013,38,28,25,30,24
Arkansas,2013,16,14,22,9,10
Auburn,2013,18,18,7,14,13
Ball State,2013,41,50,59,49,51
Boise State,2013,14,14,35,17,23
Bowling Green,2013,42,55,48,28,48
Bridgeport,2013,18,43,39,22,34
Brockport,2013,68,70,68,71,70
Brown,2013,56,63,51,61,61
BYU,2013,29,22,39,38,33
California,2013,18,34,46,23,28
Centenary College,2013,67,64,66,63,66
Central Michigan,2013,28,25,26,24,25
Cornell,2013,59,58,65,59,60
Cortland State,2013,70,77,72,67,71
Denver,2013,12,12,15,12,20
Eastern Michigan,2013,34,52,57,44,49
Florida,2013,3,1,1,1,1
George Washington,2013,47,47,32,40,39
Georgia,2013,8,3,4,10,6
Gustavus Adolphus,2013,80,81,81,81,81
Hamline,2013,75,80,75,80,79
Illinois,2013,30,20,13,13,11
Illinois State,2013,53,37,45,55,46
Iowa,2013,27,16,42,21,30
Iowa State,2013,51,27,31,35,27
Ithaca College,2013,78,71,80,79,77
Kent State,2013,23,24,29,32,36
Kentucky,2013,25,21,16,29,21
Lindenwood,2013,66,65,60,66,63
LSU,2013,1,11,12,5,5
Maryland,2013,15,41,23,16,22
Michigan,2013,4,4,8,4,7
Michigan State,2013,31,51,28,42,37
Minnesota,2013,11,29,11,8,8
Missouri,2013,43,36,26,48,43
Nebraska,2013,6,6,5,10,14
New Hampshire,2013,44,44,37,26,41
North Carolina,2013,49,26,29,38,35
North Carolina State,2013,26,34,24,34,26
Northern Illinois,2013,54,54,43,45,50
Ohio State,2013,24,23,18,25,18
Oklahoma,2013,6,2,1,1,2
Oregon State,2013,10,5,10,19,16
Penn State,2013,17,13,19,15,15
Pennsylvania,2013,61,60,52,64,59
Pittsburgh,2013,33,32,36,30,32
Rhode Island College,2013,82,82,82,82,82
Rutgers,2013,37,37,41,37,44
S.E. Missouri,2013,55,33,54,50,47
Sacramento State,2013,36,37,38,43,38
San Jose State,2013,48,40,33,41,40
Seattle Pacific,2013,64,59,62,57,58
Southern Conn.,2013,63,67,67,60,67
Southern Utah,2013,35,30,34,45,31
Springfield College,2013,74,76,77,78,76
Stanford,2013,13,9,8,19,12
Temple,2013,65,66,49,62,65
Texas Woman's,2013,50,57,47,47,55
Towson,2013,52,56,53,51,53
UC Davis,2013,46,41,44,36,42
UCLA,2013,9,9,6,6,4
UIC,2013,40,45,61,54,52
Ursinus College,2013,72,75,76,77,74
Utah,2013,5,8,14,7,9
Utah State,2013,39,48,50,58,54
UW-Eau Claire,2013,79,78,73,73,78
UW-La Crosse,2013,76,74,71,72,72
UW-Oshkosh,2013,81,79,79,76,80
UW-Stout,2013,73,72,78,75,73
UW-Whitewater,2013,69,69,70,70,68
Washington,2013,31,18,16,33,19
West Chester,2013,71,68,69,68,69
West Virginia,2013,21,46,21,26,29
Western Michigan,2013,44,31,55,53,45
William & Mary,2013,60,53,57,52,57
Wilson College,2013,83,83,83,83,
Winona State,2013,77,73,74,74,75
Yale,2013,62,62,64,65,64
Air Force,2012,62,53,60,60,59
Alabama,2012,2,6,4,3,1
Alaska,2012,63,63,67,67,65
Arizona,2012,21,15,14,15,22
Arizona State,2012,33,33,24,28,27
Arkansas,2012,6,7,15,9,6
Auburn,2012,25,10,17,19,15
Ball State,2012,58,44,57,50,52
